Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,,,,,,,,,,
354890605000052,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,364,1063,2,92,2,1811,4,3643423,47,1883,86,3652689,63,1035,29,2123711,49,1478,55,2377969,83,
354890605000053,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,224,626,2,79,1,81,1495,37,3845886,51,1666,48,4001584,14,928,41,2076189,19,1364,47,2457325,95
354890605000054,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,347,794,2,29,1,5,3150,8,11598741,2,3293,16,11654147,87,2205,16,8023093,62,2773,85,8515585,32
354890605000055,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,252,724,2,87,1,42,6229,41,24249958,16,6460,13,23655182,7,3345,39,19792992,63,5163,2,21165487,13
354890605000056,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,131,365,2,79,1,34,4062,6,19952041,16,4668,43,20100387,6,3222,5,47260093,48,4329,85,58749766,25
354890605000057,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,296,780,2,64,1,6,3420,38,13464474,16,3708,54,13530420,6,2152,1,9251891,2,2995,6,10353775,85
354890605000058,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,154,476,3,9,3,89,1681,26,3250993,8,1849,39,3265264,56,1068,36,2426124,9,1558,51,2776548,24
354890605000059,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,62,155,2,5,1,47,3901,45,17365029,1,3901,45,17365029,1,2431,79,11505288,93,2994,7,12491924,43
354890605000060,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,363,1098,3,2,1,91,2635,36,9299183,87,2764,84,9398366,42,1527,39,6121205,62,2125,16,7248104,53
354890605000061,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,302,876,2,9,2,13,1459,52,3106758,94,1763,1,3218165,87,1069,65,2131255,24,1472,6,2341100,71
354890605000062,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,123,283,2,3,1,39,2936,18,8402232,3472,6,8071312,61,2097,22,6412421,67,2890,47,6545678,43,
354890605000063,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,147,424,2,88,2,25,2044,23,4189662,1,2131,22,4182502,97,1253,34,2829310,72,1772,9,3081969,55
354890605000064,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,67,192,2,87,1,91,2605,18,7270867,73,2815,27,7265668,89,1543,2,4331818,8,2174,4734070,71,
354890605000065,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,112,267,2,38,1,55,2101,63,4878359,73,2241,74,4889602,6,1540,44,6491501,56,1947,6,7417997,8
354890605000066,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,297,778,2,62,1,48,1499,88,2779483,83,1552,14,2795269,25,1055,2,2631598,48,1377,28,2992244,97
354890605000067,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,223,627,2,81,2,16,1921,92,3848608,4,2070,48,3838457,48,1235,79,2690887,85,1761,2910165,2,
354890605000068,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,170,506,2,98,1,85,1589,98,2235553,15,1658,26,2218223,53,946,56,1432170,2,1351,1,1497893,72
